;date;Confinement ;Phase;Phase
127;2020-09-06 07:00:00;0;1ère phase;0
128;2020-09-06 08:00:00;0;1ère phase;0
129;2020-09-06 09:00:00;0;1ère phase;0
130;2020-09-06 10:00:00;0;1ère phase;0
131;2020-09-06 11:00:00;0;1ère phase;0
132;2020-09-06 12:00:00;0;1ère phase;0
133;2020-09-06 13:00:00;0;1ère phase;0
134;2020-09-06 14:00:00;0;1ère phase;0
135;2020-09-06 15:00:00;0;1ère phase;0
136;2020-09-06 16:00:00;0;1ère phase;0
137;2020-09-06 17:00:00;0;1ère phase;0
138;2020-09-06 18:00:00;0;1ère phase;0
139;2020-09-06 19:00:00;0;1ère phase;0
140;2020-09-06 20:00:00;0;1ère phase;0
141;2020-09-06 21:00:00;0;1ère phase;0
142;2020-09-06 22:00:00;0;1ère phase;0
143;2020-09-06 23:00:00;0;1ère phase;0
144;2020-09-07 00:00:00;0;1ère phase;0
145;2020-09-07 01:00:00;0;1ère phase;0
146;2020-09-07 02:00:00;0;1ère phase;0
147;2020-09-07 03:00:00;0;1ère phase;0
148;2020-09-07 04:00:00;0;1ère phase;0
149;2020-09-07 05:00:00;0;1ère phase;0
150;2020-09-07 06:00:00;0;1ère phase;0
151;2020-09-07 07:00:00;0;1ère phase;0
152;2020-09-07 08:00:00;0;1ère phase;0
153;2020-09-07 09:00:00;0;1ère phase;0
154;2020-09-07 10:00:00;0;1ère phase;0
155;2020-09-07 11:00:00;0;1ère phase;0
156;2020-09-07 12:00:00;0;1ère phase;0
157;2020-09-07 13:00:00;0;1ère phase;0
158;2020-09-07 14:00:00;0;1ère phase;0
159;2020-09-07 15:00:00;0;1ère phase;0
160;2020-09-07 16:00:00;0;1ère phase;0
161;2020-09-07 17:00:00;0;1ère phase;0
162;2020-09-07 18:00:00;0;1ère phase;0
163;2020-09-07 19:00:00;0;1ère phase;0
164;2020-09-07 20:00:00;0;1ère phase;0
165;2020-09-07 21:00:00;0;1ère phase;0
166;2020-09-07 22:00:00;0;1ère phase;0
167;2020-09-07 23:00:00;0;1ère phase;0
168;2020-09-08 00:00:00;0;1ère phase;0
169;2020-09-08 01:00:00;0;1ère phase;0
170;2020-09-08 02:00:00;0;1ère phase;0
171;2020-09-08 03:00:00;0;1ère phase;0
172;2020-09-08 04:00:00;0;1ère phase;0
173;2020-09-08 05:00:00;0;1ère phase;0
174;2020-09-08 06:00:00;0;1ère phase;0
175;2020-09-08 07:00:00;0;1ère phase;0
176;2020-09-08 08:00:00;0;1ère phase;0
177;2020-09-08 09:00:00;0;1ère phase;0
178;2020-09-08 10:00:00;0;1ère phase;0
179;2020-09-08 11:00:00;0;1ère phase;0
180;2020-09-08 12:00:00;0;1ère phase;0
181;2020-09-08 13:00:00;0;1ère phase;0
182;2020-09-08 14:00:00;0;1ère phase;0
183;2020-09-08 15:00:00;0;1ère phase;0
184;2020-09-08 16:00:00;0;1ère phase;0
185;2020-09-08 17:00:00;0;1ère phase;0
186;2020-09-08 18:00:00;0;1ère phase;0
187;2020-09-08 19:00:00;0;1ère phase;0
188;2020-09-08 20:00:00;0;1ère phase;0
189;2020-09-08 21:00:00;0;1ère phase;0
190;2020-09-08 22:00:00;0;1ère phase;0
191;2020-09-08 23:00:00;0;1ère phase;0
192;2020-09-09 00:00:00;0;1ère phase;0
193;2020-09-09 01:00:00;0;1ère phase;0
194;2020-09-09 02:00:00;0;1ère phase;0
195;2020-09-09 03:00:00;0;1ère phase;0
196;2020-09-09 04:00:00;0;1ère phase;0
197;2020-09-09 05:00:00;0;1ère phase;0
198;2020-09-09 06:00:00;0;1ère phase;0
199;2020-09-09 07:00:00;0;1ère phase;0
200;2020-09-09 08:00:00;0;1ère phase;0
201;2020-09-09 09:00:00;0;1ère phase;0
202;2020-09-09 10:00:00;0;1ère phase;0
203;2020-09-09 11:00:00;0;1ère phase;0
204;2020-09-09 12:00:00;0;1ère phase;0
205;2020-09-09 13:00:00;0;1ère phase;0
206;2020-09-09 14:00:00;0;1ère phase;0
207;2020-09-09 15:00:00;0;1ère phase;0
208;2020-09-09 16:00:00;0;1ère phase;0
209;2020-09-09 17:00:00;0;1ère phase;0
210;2020-09-09 18:00:00;0;1ère phase;0
211;2020-09-09 19:00:00;0;1ère phase;0
212;2020-09-09 20:00:00;0;1ère phase;0
213;2020-09-09 21:00:00;0;1ère phase;0
214;2020-09-09 22:00:00;0;1ère phase;0
215;2020-09-09 23:00:00;0;1ère phase;0
216;2020-09-10 00:00:00;0;1ère phase;0
217;2020-09-10 01:00:00;0;1ère phase;0
218;2020-09-10 02:00:00;0;1ère phase;0
219;2020-09-10 03:00:00;0;1ère phase;0
220;2020-09-10 04:00:00;0;1ère phase;0
221;2020-09-10 05:00:00;0;1ère phase;0
222;2020-09-10 06:00:00;0;1ère phase;0
223;2020-09-10 07:00:00;0;1ère phase;0
224;2020-09-10 08:00:00;0;1ère phase;0
225;2020-09-10 09:00:00;0;1ère phase;0
226;2020-09-10 10:00:00;0;1ère phase;0
227;2020-09-10 11:00:00;0;1ère phase;0
228;2020-09-10 12:00:00;0;1ère phase;0
229;2020-09-10 13:00:00;0;1ère phase;0
230;2020-09-10 14:00:00;0;1ère phase;0
231;2020-09-10 15:00:00;0;1ère phase;0
232;2020-09-10 16:00:00;0;1ère phase;0
233;2020-09-10 17:00:00;0;1ère phase;0
234;2020-09-10 18:00:00;0;1ère phase;0
235;2020-09-10 19:00:00;0;1ère phase;0
236;2020-09-10 20:00:00;0;1ère phase;0
237;2020-09-10 21:00:00;0;1ère phase;0
238;2020-09-10 22:00:00;0;1ère phase;0
239;2020-09-10 23:00:00;0;1ère phase;0
240;2020-09-11 00:00:00;0;1ère phase;0
241;2020-09-11 01:00:00;0;1ère phase;0
242;2020-09-11 02:00:00;0;1ère phase;0
243;2020-09-11 03:00:00;0;1ère phase;0
244;2020-09-11 04:00:00;0;1ère phase;0
245;2020-09-11 05:00:00;0;1ère phase;0
246;2020-09-11 06:00:00;0;1ère phase;0
247;2020-09-11 07:00:00;0;1ère phase;0
248;2020-09-11 08:00:00;0;1ère phase;0
249;2020-09-11 09:00:00;0;1ère phase;0
250;2020-09-11 10:00:00;0;1ère phase;0
251;2020-09-11 11:00:00;0;1ère phase;0
252;2020-09-11 12:00:00;0;1ère phase;0
253;2020-09-11 13:00:00;0;1ère phase;0
254;2020-09-11 14:00:00;0;1ère phase;0
255;2020-09-11 15:00:00;0;1ère phase;0
256;2020-09-11 16:00:00;0;1ère phase;0
257;2020-09-11 17:00:00;0;1ère phase;0
