date,Vehicules
4/4/2021,44.49225589
4/5/2021,29.43650243
4/6/2021,44.52478315
4/7/2021,48.02113114
4/8/2021,49.50191327
4/9/2021,49.98245614
4/10/2021,35.18077957
4/11/2021,34.68264343
4/12/2021,47.95827901
4/13/2021,50.5745752
4/14/2021,51.77341772
4/15/2021,50.04377736
4/16/2021,48.72875
4/17/2021,47.53281156
4/18/2021,45.28300654
4/19/2021,48.77130595
4/20/2021,53.33731343
4/21/2021,52.81432836
4/22/2021,53.02785839
4/23/2021,54.7475
4/24/2021,51.89375402
4/25/2021,50.41595814
4/26/2021,52.26653944
4/27/2021,58.39875776
4/28/2021,55.1716792
4/29/2021,55.02496879
4/30/2021,54.22848101
5/1/2021,37.40941011
5/2/2021,43.41597222
5/3/2021,53.88242498
5/4/2021,54.44984615
5/5/2021,56.02147971
5/6/2021,46.41230207
5/7/2021,57.30719719
5/8/2021,48.78976572
5/9/2021,44.19502868
5/10/2021,53.04285714
5/11/2021,56.03738872
5/12/2021,57.18735084
5/13/2021,39.1400507
5/14/2021,37.0829639
5/15/2021,34.15188258
5/16/2021,33.98145695
5/17/2021,47.90898204
5/18/2021,55.33313574
5/19/2021,60.80895009
5/20/2021,63.85468663
5/21/2021,60.23542601
5/22/2021,47.29685681
5/23/2021,51.33151184
5/24/2021,41.97252747
5/25/2021,58.93149883
5/26/2021,60.16908774
5/27/2021,68.62665198
5/28/2021,65.54816017
5/29/2021,64.03610503
5/30/2021,60.9007589
5/31/2021,64.64566059
6/1/2021,71.45979493
6/2/2021,68.61292104
6/3/2021,68.26123128
6/4/2021,61.19322393
6/5/2021,68.05387524
6/6/2021,68.26998051
6/7/2021,72.99864865
6/8/2021,78.26261682
6/9/2021,82.5819398
6/10/2021,82.76234425
6/11/2021,77.07172414
6/12/2021,74.70229008
6/13/2021,65.22561281
6/14/2021,73.29678639
6/15/2021,78.36805231
6/16/2021,77.40813464
6/17/2021,74.91466289
6/18/2021,74.21591438
6/19/2021,61.09916952
6/20/2021,59.14329424
6/21/2021,74.71335505
6/22/2021,67.9044843
6/23/2021,77.40962167
6/24/2021,78.64808844
6/25/2021,72.51096892
6/26/2021,64.90993637
6/27/2021,61.26443474
6/28/2021,69.37384473
6/29/2021,68.83048499
6/30/2021,72.73890463
7/1/2021,83.90353261
7/2/2021,78.49161758
7/3/2021,75.34945472
7/4/2021,59.16543937
7/5/2021,70.20378251
7/6/2021,78.07646246
7/7/2021,80.73019571
7/8/2021,81.94604651
7/9/2021,74.74942844
7/10/2021,62.06198547
7/11/2021,61.84379709
7/12/2021,56.76098252
7/13/2021,52.62573964
7/14/2021,58.26258993
7/15/2021,66.96741625
7/16/2021,65.53542938
7/17/2021,64.93853659
7/18/2021,64.10379242
7/19/2021,64.92011147
7/20/2021,71.0771039
7/21/2021,70.25628141
7/22/2021,72.84886416
7/23/2021,66.12038745
7/24/2021,62.04484733
7/25/2021,49.84557721
7/26/2021,54.62991008
7/27/2021,55.30650602
7/28/2021,67.47080979
7/29/2021,69.80028805
7/30/2021,63.24359571
7/31/2021,58.67323402
8/1/2021,54.99195171
8/2/2021,50.45458824
8/3/2021,54.68914956
8/4/2021,56.53619691
8/5/2021,57.16690786
8/6/2021,53.62781587
8/7/2021,44.88360575
8/8/2021,50.07436709
8/9/2021,46.27236971
8/10/2021,50.14442231
8/11/2021,53.67765748
8/12/2021,51.14621285
8/13/2021,49.1568908
8/14/2021,48.69956247
8/15/2021,47.21107087
8/16/2021,45.83088235
8/17/2021,50.23903401
8/18/2021,50.21579205
8/19/2021,51.76456311
8/20/2021,51.75394926
8/21/2021,54.46505906
8/22/2021,49.92209124
8/23/2021,54.19818961
8/24/2021,61.06471422
8/25/2021,63.41596244
8/26/2021,62.00367985
8/27/2021,63.73116761
8/28/2021,58.76560267
8/29/2021,56.87462687
8/30/2021,63.35241249
8/31/2021,70.36279926
9/1/2021,73.79862385
9/2/2021,75.59111722
9/3/2021,72.27203579
9/4/2021,68.17039106
9/5/2021,65.4097393
9/6/2021,73.34979424
9/7/2021,78.07492005
9/8/2021,75.07271906
9/9/2021,76.59414414
9/10/2021,72.21796626
9/11/2021,71.84882108
