iter	Passed	Remaining
406	5732	8352
407	5746	8337
408	5759	8322
409	5772	8307
410	5786	8292
411	5799	8277
412	5812	8261
413	5827	8247
414	5842	8235
415	5856	8221
416	5870	8207
417	5887	8197
418	5903	8186
419	5919	8174
420	5935	8163
421	5952	8152
422	5967	8140
423	5987	8133
424	6000	8118
425	6015	8105
426	6030	8092
427	6045	8079
428	6059	8064
429	6073	8050
430	6087	8036
431	6101	8021
432	6114	8006
433	6127	7991
434	6141	7976
435	6155	7963
436	6170	7949
437	6184	7934
438	6196	7918
439	6210	7903
440	6224	7889
441	6237	7874
442	6250	7858
443	6263	7843
444	6277	7829
445	6290	7813
446	6304	7799
447	6317	7783
448	6330	7768
449	6343	7753
450	6356	7737
451	6370	7723
452	6384	7709
453	6398	7695
454	6413	7682
455	6427	7668
456	6442	7654
457	6455	7639
458	6469	7625
459	6483	7611
460	6497	7596
461	6510	7581
462	6523	7566
463	6537	7552
464	6551	7538
465	6565	7523
466	6578	7507
467	6591	7492
468	6604	7477
469	6618	7463
470	6631	7448
471	6644	7432
472	6656	7416
473	6670	7401
474	6682	7386
475	6695	7370
476	6709	7356
477	6722	7341
478	6735	7326
479	6749	7311
480	6761	7295
481	6774	7280
482	6787	7265
483	6800	7250
484	6815	7236
485	6829	7223
486	6843	7208
487	6856	7193
488	6870	7179
489	6883	7164
490	6901	7154
491	6916	7141
492	6931	7128
493	6947	7115
494	6962	7102
495	6977	7090
496	6993	7078
497	7009	7065
498	7025	7053
499	7042	7042
500	7057	7028
501	7072	7016
502	7087	7003
503	7102	6989
504	7117	6976
505	7132	6963
506	7147	6950
507	7162	6937
508	7177	6923
509	7191	6909
510	7206	6896
511	7222	6883
512	7237	6870
513	7252	6857
514	7267	6844
515	7281	6829
516	7295	6815
517	7309	6801
518	7325	6788
519	7340	6775
520	7354	6762
521	7372	6750
522	7386	6736
523	7400	6723
524	7416	6710
525	7431	6696
526	7447	6684
527	7462	6671
528	7476	6656
529	7492	6644
530	7505	6628
531	7519	6614
532	7534	6601
533	7549	6587
534	7566	6576
535	7581	6562
536	7595	6548
537	7610	6535
538	7625	6521
539	7639	6507
540	7654	6494
541	7670	6481
542	7684	6467
543	7700	6454
544	7716	6441
545	7731	6428
546	7747	6415
547	7761	6401
548	7776	6388
549	7792	6375
550	7806	6361
551	7822	6348
552	7837	6335
553	7852	6321
554	7869	6309
555	7885	6296
556	7900	6283
557	7919	6273
558	7934	6259
559	7950	6246
560	7963	6232
561	7977	6217
562	7991	6202
563	8006	6189
564	8019	6174
565	8034	6160
566	8048	6146
567	8062	6131
568	8077	6118
569	8092	6105
570	8107	6090
571	8122	6077
572	8137	6063
573	8152	6050
574	8168	6037
575	8184	6024
576	8199	6011
577	8213	5996
578	8229	5983
579	8242	5969
580	8257	5955
581	8273	5941
582	8288	5928
583	8304	5915
584	8319	5901
585	8334	5888
586	8349	5874
587	8365	5861
588	8381	5848
589	8397	5835
590	8416	5824
591	8430	5810
592	8443	5795
593	8456	5780
594	8470	5765
595	8483	5750
596	8496	5735
597	8510	5721
598	8523	5706
599	8537	5691
600	8551	5677
601	8565	5662
602	8580	5649
603	8596	5636
604	8611	5622
605	8625	5608
606	8640	5594
607	8655	5580
608	8670	5566
609	8684	5552
610	8699	5538
611	8713	5524
612	8729	5511
613	8745	5497
614	8760	5483
615	8774	5469
616	8789	5455
617	8803	5441
618	8817	5427
619	8833	5414
620	8847	5399
621	8860	5384
622	8873	5369
623	8887	5355
624	8901	5341
625	8916	5327
626	8936	5316
627	8950	5301
628	8966	5288
629	8980	5274
630	8995	5260
631	9010	5246
632	9024	5232
633	9039	5218
634	9052	5203
635	9066	5188
636	9079	5173
637	9092	5159
638	9105	5144
639	9118	5129
640	9132	5114
641	9145	5099
642	9159	5085
643	9174	5071
644	9187	5056
645	9202	5042
646	9215	5027
647	9229	5013
648	9244	4999
649	9258	4985
650	9272	4971
651	9288	4957
652	9304	4944
653	9320	4931
654	9334	4916
655	9349	4902
656	9365	4889
657	9380	4875
658	9394	4861
659	9408	4846
660	9422	4832
661	9435	4817
662	9448	4802
663	9461	4787
664	9474	4772
665	9488	4758
666	9501	4743
667	9514	4728
668	9529	4714
669	9542	4699
670	9555	4685
671	9569	4670
672	9583	4656
673	9596	4641
674	9610	4627
675	9624	4612
676	9637	4597
677	9650	4583
678	9663	4568
679	9677	4553
680	9690	4539
681	9703	4524
682	9717	4510
683	9731	4496
684	9745	4481
685	9759	4467
686	9775	4453
687	9791	4440
688	9805	4426
689	9820	4412
690	9835	4398
691	9850	4384
692	9864	4370
693	9880	4356
694	9896	4342
695	9912	4329
696	9929	4316
697	9949	4304
698	9966	4291
699	9983	4278
700	10000	4265
701	10017	4252
702	10032	4238
703	10047	4224
704	10060	4209
705	10075	4195
706	10090	4181
707	10106	4168
708	10120	4154
709	10135	4139
710	10148	4125
711	10161	4110
712	10175	4095
713	10189	4081
714	10202	4066
715	10217	4052
716	10231	4038
717	10245	4024
718	10260	4009
719	10273	3995
720	10287	3980
721	10301	3966
722	10314	3951
723	10328	3937
724	10342	3923
725	10356	3908
726	10369	3893
727	10383	3879
728	10397	3865
729	10412	3851
730	10424	3836
731	10437	3821
732	10451	3807
733	10465	3792
734	10479	3778
735	10493	3764
736	10507	3749
737	10520	3734
738	10533	3720
739	10548	3706
740	10562	3692
741	10577	3677
742	10592	3663
743	10606	3649
744	10620	3635
745	10635	3621
746	10650	3607
747	10665	3593
748	10681	3579
749	10696	3565
750	10710	3551
751	10725	3537
752	10741	3523
753	10756	3509
754	10770	3494
755	10785	3480
756	10798	3466
757	10811	3451
758	10825	3437
759	10838	3422
760	10852	3408
761	10865	3393
762	10882	3380
763	10897	3366
764	10910	3351
765	10924	3337
766	10944	3324
767	10960	3310
768	10974	3296
769	10989	3282
770	11004	3268
771	11019	3254
772	11033	3240
773	11047	3225
774	11061	3211
775	11076	3197
776	11090	3183
777	11105	3168
778	11119	3154
779	11136	3141
780	11154	3127
781	11171	3114
782	11187	3100
783	11202	3086
784	11217	3072
785	11232	3058
786	11248	3044
787	11264	3030
788	11277	3015
789	11291	3001
790	11305	2987
791	11320	2972
792	11333	2958
793	11346	2943
794	11362	2929
795	11376	2915
796	11390	2901
797	11404	2886
798	11418	2872
799	11431	2857
800	11445	2843
801	11459	2829
802	11474	2814
803	11488	2800
804	11503	2786
805	11517	2772
806	11532	2758
807	11548	2744
808	11563	2729
809	11576	2715
810	11591	2701
811	11606	2687
812	11621	2673
813	11637	2659
814	11651	2644
815	11665	2630
816	11680	2616
817	11693	2601
818	11707	2587
819	11720	2572
820	11734	2558
821	11748	2543
822	11761	2529
823	11775	2515
824	11790	2500
825	11803	2486
826	11817	2471
827	11830	2457
828	11844	2443
829	11857	2428
830	11874	2414
831	11888	2400
